name,lat,lng
Albany,44.6272,-123.0965
Ankeny,41.7288,-93.6031
South San Francisco,37.6538,-122.4196
Castro Valley,37.7088,-122.0626
Bethesda,38.9866,-77.1188
Saratoga Springs,43.0674,-73.7775
Corvallis,44.5698,-123.2779
Brentwood,40.7839,-73.2522
Ames,42.0256,-93.6217
Glens Falls,43.3109,-73.6458
Michigan City,41.7092,-86.869
Victoria,28.8287,-96.9849
Malden,42.4305,-71.0576
Weirton,40.406,-80.5671
Novi,42.4786,-83.4893
Guayama,17.9743,-66.1104
Alpharetta,34.0704,-84.2738
Wesley Chapel,28.2106,-82.3238
Waltham,42.3889,-71.2423
Laguna Niguel,33.5275,-117.705
San Clemente,33.4499,-117.6102
North Little Rock,34.7807,-92.2371
Fairbanks,64.8353,-147.6533
Florence-Graham,33.9682,-118.2447
Eden Prairie,44.8488,-93.4595
Twin Rivers,40.2631,-74.4917
Pflugerville,30.4515,-97.6018
Casper,42.842,-106.3208
Burnsville,44.7648,-93.2793
Grand Forks,47.9214,-97.0884
Brentwood,37.9356,-121.719
Millcreek,40.6892,-111.8292
Elmira,42.0938,-76.8097
Sebring,27.477,-81.453
La Habra,33.9282,-117.9515
Coon Rapids,45.1755,-93.3094
Bossier City,32.5224,-93.6668
Hamilton,39.3939,-84.5653
Taylor,42.226,-83.2688
Lakewood,47.1628,-122.5299
Greenwood,39.6019,-86.1073
Bellevue,41.1485,-95.939
Montebello,34.0155,-118.1108
Moore,35.3293,-97.4757
Council Bluffs,41.2369,-95.8516
Rowlett,32.9155,-96.5489
Spring,30.0613,-95.383
Port Charlotte,26.9918,-82.114
Reston,38.9497,-77.3461
Pico Rivera,33.9901,-118.0888
Dearborn Heights,42.3164,-83.2769
Port Orange,29.1085,-81.0137
Encinitas,33.0492,-117.261
Springfield,44.0538,-122.9811
Great Falls,47.5022,-111.2996
Rocky Mount,35.9685,-77.804
Commerce City,39.8641,-104.843
Pontiac,42.6493,-83.2878
The Hammocks,25.67,-80.4482
Wellington,26.6461,-80.2699
San Rafael,37.9905,-122.5221
Monterey Park,34.0497,-118.1326
La Mesa,32.7703,-117.0204
Woodland,38.6712,-121.75
Marietta,33.9533,-84.5422
Chapel Hill,35.9271,-79.0391
Gardena,33.8943,-118.3072
Meriden,41.5369,-72.7946
Bristol,41.6812,-72.9407
Revere,42.4189,-71.004
Medford,42.4234,-71.1087
Palm Harbor,28.0847,-82.7481
Cupertino,37.3168,-122.0466
Jupiter,26.92,-80.1128
Hendersonville,36.3063,-86.5997
North Miami,25.9008,-80.1686
Des Plaines,42.0345,-87.9008
Taylorsville,40.6569,-111.9493
West Allis,43.0068,-88.0296
Sanford,28.7891,-81.2757
